date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:55	271/271	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20May%202020%2017:39:55%20GMT	https://dwebs.io/robots.txt		(from )
23:09:56	52612/52612	---M-Z	200	added ('OK')	text/html	etag:%22cd84-57b000e4d5ff8-gzip%22	https://dwebs.io/	/tmp/dwebs.io/dwebs.io/index.html	(from )
23:09:57	9283/9283	---M-Z	200	added ('OK')	text/css	etag:%222443-579772bc1413a-gzip%22	https://dwebs.io/assets/css/socicon.css	/tmp/dwebs.io/dwebs.io/assets/css/socicon.css	(from https://dwebs.io/)
23:09:58	20781/20781	---M-Z	200	added ('OK')	text/css	etag:%22512d-579772beb7de8-gzip%22	https://dwebs.io/assets/css/entypo.css	/tmp/dwebs.io/dwebs.io/assets/css/entypo.css	(from https://dwebs.io/)
23:09:59	254098/254098	---M-Z	200	added ('OK')	text/css	etag:%223e092-57affe471dc27-gzip%22	https://dwebs.io/assets/css/theme.css	/tmp/dwebs.io/dwebs.io/assets/css/theme.css	(from https://dwebs.io/)
23:10:00	52612/52612	---M-Z	200	added ('OK')	text/html	etag:%22cd84-57b000e4d5ff8-gzip%22	https://dwebs.io/index.html	/tmp/dwebs.io/dwebs.io/index-2.html	(from https://dwebs.io/)
23:10:01	4639/4639	---M--	200	added ('OK')	image/png	etag:%22121f-57992bf576e5e%22	https://dwebs.io/assets/img/logo-dark-gray.png	/tmp/dwebs.io/dwebs.io/assets/img/logo-dark-gray.png	(from https://dwebs.io/)
23:10:02	29767/29767	---M-Z	200	added ('OK')	text/html	etag:%227447-57b000e57cfe4-gzip%22	https://dwebs.io/getting-started.html	/tmp/dwebs.io/dwebs.io/getting-started.html	(from https://dwebs.io/)
23:10:03	36947/36947	---M-Z	200	added ('OK')	text/html	etag:%229053-57b000e59d386-gzip%22	https://dwebs.io/web2-vs-web3.html	/tmp/dwebs.io/dwebs.io/web2-vs-web3.html	(from https://dwebs.io/)
23:10:04	35212/35212	---M-Z	200	added ('OK')	text/html	etag:%22898c-57b0e303eada2-gzip%22	https://dwebs.io/introducing-dsites.html	/tmp/dwebs.io/dwebs.io/introducing-dsites.html	(from https://dwebs.io/)
23:10:05	9957/9957	---M-Z	200	added ('OK')	text/html	etag:%2226e5-579772a2b2e5c-gzip%22	https://dwebs.io/dweb-plus-blockchains.html	/tmp/dwebs.io/dwebs.io/dweb-plus-blockchains.html	(from https://dwebs.io/)
23:10:06	31365/31365	---M-Z	200	added ('OK')	text/html	etag:%227a85-57b000e681bd6-gzip%22	https://dwebs.io/dweb-core.html	/tmp/dwebs.io/dwebs.io/dweb-core.html	(from https://dwebs.io/)
23:10:07	33191/33191	---M-Z	200	added ('OK')	text/html	etag:%2281a7-57b000e727c21-gzip%22	https://dwebs.io/ddns.html	/tmp/dwebs.io/dwebs.io/ddns.html	(from https://dwebs.io/)
23:10:08	38912/38912	---M-Z	200	added ('OK')	text/html	etag:%229800-57b000e6c231a-gzip%22	https://dwebs.io/dpack.html	/tmp/dwebs.io/dwebs.io/dpack.html	(from https://dwebs.io/)
23:10:09	33359/33359	---M-Z	200	added ('OK')	text/html	etag:%22824f-57b000e7ad8cb-gzip%22	https://dwebs.io/ddatabase.html	/tmp/dwebs.io/dwebs.io/ddatabase.html	(from https://dwebs.io/)
23:10:10	32719/32719	---M-Z	200	added ('OK')	text/html	etag:%227fcf-57b0e8403c343-gzip%22	https://dwebs.io/ddrives.html	/tmp/dwebs.io/dwebs.io/ddrives.html	(from https://dwebs.io/)
23:10:11	32291/32291	---M-Z	200	added ('OK')	text/html	etag:%227e23-57b0ec09fc8a7-gzip%22	https://dwebs.io/dwdht.html	/tmp/dwebs.io/dwebs.io/dwdht.html	(from https://dwebs.io/)
23:10:12	31714/31714	---M-Z	200	added ('OK')	text/html	etag:%227be2-57b000e7d1aed-gzip%22	https://dwebs.io/flockcore.html	/tmp/dwebs.io/dwebs.io/flockcore.html	(from https://dwebs.io/)
23:10:13	90489/90489	---M--	200	added ('OK')	image/png	etag:%2216179-5799275bdda65%22	https://dwebs.io/assets/img/freedom-header.png	/tmp/dwebs.io/dwebs.io/assets/img/freedom-header.png	(from https://dwebs.io/)
23:10:14	99516/99516	---M--	200	added ('OK')	image/png	etag:%22184bc-57993175f42d1%22	https://dwebs.io/assets/img/freedom-header-mobile.png	/tmp/dwebs.io/dwebs.io/assets/img/freedom-header-mobile.png	(from https://dwebs.io/)
23:10:16	183403/183403	---M--	200	added ('OK')	image/png	etag:%222cc6b-579773101939d%22	https://dwebs.io/assets/img/no-hosting.png	/tmp/dwebs.io/dwebs.io/assets/img/no-hosting.png	(from https://dwebs.io/)
23:10:16	10455/10455	---M-Z	200	added ('OK')	text/html	etag:%2228d7-579772a500c04-gzip%22	https://dwebs.io/how-websites-are-distributed.html	/tmp/dwebs.io/dwebs.io/how-websites-are-distributed.html	(from https://dwebs.io/)
23:10:17	96022/96022	---M--	200	added ('OK')	image/png	etag:%2217716-5797730cca883%22	https://dwebs.io/assets/img/no-censorship.png	/tmp/dwebs.io/dwebs.io/assets/img/no-censorship.png	(from https://dwebs.io/)
23:10:18	4065/4065	---M-Z	200	added ('OK')	text/html	etag:%22fe1-579772a5ffa36-gzip%22	https://dwebs.io/illegal-content.html	/tmp/dwebs.io/dwebs.io/illegal-content.html	(from https://dwebs.io/)
23:10:19	10455/10455	---M-Z	200	added ('OK')	text/html	etag:%2228d7-579772aa0fb1d-gzip%22	https://dwebs.io/who-controls-the-dweb.html	/tmp/dwebs.io/dwebs.io/who-controls-the-dweb.html	(from https://dwebs.io/)
23:10:21	353143/353143	---M--	200	added ('OK')	image/png	etag:%2256377-579772f56cfc9%22	https://dwebs.io/assets/img/no-downtime.png	/tmp/dwebs.io/dwebs.io/assets/img/no-downtime.png	(from https://dwebs.io/)
23:10:21	9952/9952	---M-Z	200	added ('OK')	text/html	etag:%2226e0-579772a8ebb29-gzip%22	https://dwebs.io/longevity.html	/tmp/dwebs.io/dwebs.io/longevity.html	(from https://dwebs.io/)
23:10:22	40149/40149	---M--	200	added ('OK')	image/png	etag:%229cd5-579773220dfb8%22	https://dwebs.io/assets/img/graphic-bg-clouds-2.png	/tmp/dwebs.io/dwebs.io/assets/img/graphic-bg-clouds-2.png	(from https://dwebs.io/)
23:10:23	5392/5392	---M--	200	added ('OK')	image/jpeg	etag:%221510-579772e0e21c0%22	https://dwebs.io/assets/img/jared.jpeg	/tmp/dwebs.io/dwebs.io/assets/img/jared.jpg	(from https://dwebs.io/)
23:10:24	5374/5374	---M--	200	added ('OK')	image/png	etag:%2214fe-5797730ac7e00%22	https://dwebs.io/assets/img/dbrowser.png	/tmp/dwebs.io/dwebs.io/assets/img/dbrowser.png	(from https://dwebs.io/)
23:10:25	8363/8363	---M--	200	added ('OK')	image/png	etag:%2220ab-5797730e5ed5f%22	https://dwebs.io/assets/img/dpack.png	/tmp/dwebs.io/dwebs.io/assets/img/dpack.png	(from https://dwebs.io/)
23:10:26	14726/14726	---M--	200	added ('OK')	image/png	etag:%223986-57977309a9bcc%22	https://dwebs.io/assets/img/dpay.png	/tmp/dwebs.io/dwebs.io/assets/img/dpay.png	(from https://dwebs.io/)
23:10:27	12194/12194	---M--	200	added ('OK')	image/png	etag:%222fa2-579772ea4d485%22	https://dwebs.io/assets/img/arisen.png	/tmp/dwebs.io/dwebs.io/assets/img/arisen.png	(from https://dwebs.io/)
23:10:28	2585/2585	---M--	200	added ('OK')	image/png	etag:%22a19-579773070209d%22	https://dwebs.io/assets/img/dmemo.png	/tmp/dwebs.io/dwebs.io/assets/img/dmemo.png	(from https://dwebs.io/)
23:10:29	5042/5042	---M--	200	added ('OK')	image/png	etag:%2213b2-57977324bb8a7%22	https://dwebs.io/assets/img/dvideo.png	/tmp/dwebs.io/dwebs.io/assets/img/dvideo.png	(from https://dwebs.io/)
23:10:30	10216/10216	---M--	200	added ('OK')	image/png	etag:%2227e8-579773216eccd%22	https://dwebs.io/assets/img/dsocial.png	/tmp/dwebs.io/dwebs.io/assets/img/dsocial.png	(from https://dwebs.io/)
23:10:31	6276/6276	---M--	200	added ('OK')	image/png	etag:%221884-579772f453bb5%22	https://dwebs.io/assets/img/dwiki.png	/tmp/dwebs.io/dwebs.io/assets/img/dwiki.png	(from https://dwebs.io/)
23:10:32	5670/5670	---M--	200	added ('OK')	image/png	etag:%221626-579772f6258f5%22	https://dwebs.io/assets/img/ddatabase.png	/tmp/dwebs.io/dwebs.io/assets/img/ddatabase.png	(from https://dwebs.io/)
23:10:33	9614/9614	---M--	200	added ('OK')	image/png	etag:%22258e-57977303ff848%22	https://dwebs.io/assets/img/ddrives.png	/tmp/dwebs.io/dwebs.io/assets/img/ddrives.png	(from https://dwebs.io/)
